image_id,image_path,mode,alpha,alpha_eff,mask_mean,psnr,ssim,rec_psnr,rec_ssim,ncc,ber,qr_decoded,frob_predicted,frob_measured,psnr_predicted,weyl_bound_max,mirsky_bound_max
coco_000000002587,images/coco_000000002587.png,svd_texture,0.001,0.00019533855519523511,0.10593172799470565,68.29416236754427,0.9999644730780511,2.5768175692035893,0.26215606389977214,0.23408274729503542,0.5933074951171875,0,36.681505592760054,87.02873088813831,75.79847231568979,18.497294166786908,21.17807712826076
coco_000000002587,images/coco_000000002587.png,svd_texture,0.005,0.0009766927759761756,0.10593172799470565,68.25875617817604,0.9999644656641763,1.88820914221037,0.17311097902055825,0.22835251348353328,0.6893653869628906,0,183.40752796380028,87.38420909981392,61.81907222896942,92.48647083393455,105.89038564130381
coco_000000002587,images/coco_000000002587.png,svd_texture,0.01,0.001953385551952351,0.10593172799470565,64.72531883822174,0.9999588554595212,2.487278909103866,0.26292422864193804,0.5353317982765458,0.6895790100097656,0,366.81505592760055,131.25166665608478,55.79847231568979,184.9729416678691,211.78077128260762
coco_000000002587,images/coco_000000002587.png,svd_texture,0.02,0.003906771103904702,0.10593172799470565,53.75532132111722,0.9998617199238318,7.509536326948703,0.6910384198203277,0.9324144797947388,0.2758750915527344,1,733.6301118552011,464.0926631611407,49.777872402410175,369.9458833357382,423.56154256521523
coco_000000002587,images/coco_000000002587.png,svd_texture,0.05,0.009766927759761755,0.10593172799470565,43.835868415832174,0.9991007504939117,13.490688776853325,0.8799829333362178,0.9941992033519756,0.0001068115234375,1,1834.0752796380025,1454.0433281027083,41.81907222896942,924.8647083393454,1058.903856413038
coco_000000002587,images/coco_000000002587.png,svd_texture,0.1,0.01953385551952351,0.10593172799470565,37.034993613135015,0.997284891745965,16.902815739930308,0.8114545772583642,0.9944692369384004,6.103515625e-05,1,3668.150559276005,3181.420594640074,35.79847231568979,1849.7294166786908,2117.807712826076
coco_000000002587,images/coco_000000002587.png,svd_yolo,0.001,0.0006273903232364461,0.5859892480404957,68.29416236754427,0.9999644730780511,2.007894264110531,0.1837125643199685,0.2249016926959501,0.6885871887207031,0,117.8140261539244,87.02873088813831,65.66347542059282,59.40979421446621,68.01995971428181
coco_000000002587,images/coco_000000002587.png,svd_yolo,0.005,0.0031369516161822305,0.5859892480404957,55.82987093829604,0.9998325958665735,6.37707233536534,0.6311427918084528,0.9007078413532543,0.44193267822265625,1,589.070130769622,365.4914499683953,51.68407533387243,297.048971072331,340.099798571409
coco_000000002587,images/coco_000000002587.png,svd_yolo,0.01,0.006273903232364461,0.5859892480404957,48.33180254860225,0.9995217272267597,10.821306302573959,0.8283116770557252,0.9822111368426555,0.0363006591796875,1,1178.140261539244,866.5240908364868,45.6634754205928,594.097942144662,680.199597142818
coco_000000002587,images/coco_000000002587.png,svd_yolo,0.02,0.012547806464728922,0.5859892480404957,41.309489378617485,0.9986215181925381,14.999705324126014,0.8714371517059137,0.9956410739688892,8.7738037109375e-05,1,2356.280523078488,1944.8956270196095,39.642875507313185,1188.195884289324,1360.399194285636
coco_000000002587,images/coco_000000002587.png,svd_yolo,0.05,0.031369516161822306,0.5859892480404957,32.62525115011634,0.9936489268887542,18.009255845519544,0.7718004858372253,0.9920934417706662,5.340576171875e-05,1,5890.70130769622,5285.769385813195,31.684075333872435,2970.4897107233105,3400.99798571409
coco_000000002587,images/coco_000000002587.png,svd_yolo,0.1,0.06273903232364461,0.5859892480404957,26.38217607137804,0.9769370665144751,18.428986765845103,0.7506998471674189,0.9890989293105259,5.340576171875e-05,1,11781.40261539244,10845.809328952819,25.66347542059281,5940.979421446621,6801.99597142818
coco_000000002685,images/coco_000000002685.png,svd_only,0.001,0.001,1.0,62.24427459262532,0.9998706428748467,2.4204268322021414,0.26187173689000004,0.34221078629621676,0.6739273071289062,0,187.78425772678605,174.6453549339346,61.61423173914949,94.69351377304604,108.41729174813389
coco_000000002685,images/coco_000000002685.png,svd_only,0.005,0.005,1.0,50.76819090843172,0.9996571069374337,9.339578154125764,0.7835619632739598,0.9616351316782304,0.07476425170898438,1,938.9212886339302,654.5777264771541,47.63483165242911,473.46756886523013,542.0864587406695
coco_000000002685,images/coco_000000002685.png,svd_only,0.01,0.01,1.0,43.343664419884334,0.999285259028007,15.055955250160522,0.9117362385799024,0.9929521200711502,1.1444091796875e-05,1,1877.8425772678604,1538.8190276962396,41.61423173914949,946.9351377304603,1084.172917481339
coco_000000002685,images/coco_000000002685.png,svd_only,0.02,0.02,1.0,36.508812994755495,0.9979683805283383,20.47517064431993,0.9586601284728767,0.998472866524725,3.814697265625e-06,1,3755.685154535721,3380.104436256371,35.59363182586987,1893.8702754609205,2168.345834962678
coco_000000002685,images/coco_000000002685.png,svd_only,0.05,0.05,1.0,28.097661932354416,0.9890746447546223,25.50481919068797,0.9670114481488076,0.9994887038141559,7.62939453125e-06,1,9389.212886339303,8902.001685014444,27.634831652429117,4734.675688652302,5420.864587406695
coco_000000002685,images/coco_000000002685.png,svd_only,0.1,0.1,1.0,22.137565400444768,0.9592657735175201,23.44088670337112,0.8830287622515987,0.9981148134645953,2.288818359375e-05,1,18778.425772678605,17680.41679372972,21.614231739149496,9469.351377304603,10841.72917481339
coco_000000002685,images/coco_000000002685.png,svd_texture,0.001,0.00028441638456132366,0.20490709395702633,62.24427459262532,0.9998706428748467,3.4693988402132208,0.4186067697231044,0.3793874630374371,0.4699058532714844,0,53.408919660184296,174.6453549339346,72.5351395098369,26.932386828737656,30.835654142934473
coco_000000002685,images/coco_000000002685.png,svd_texture,0.005,0.0014220819228066184,0.20490709395702633,62.24427459262532,0.9998706428748467,2.197803694201616,0.23068096939887608,0.3410365706140456,0.6893768310546875,0,267.0445983009215,174.6453549339346,58.55573942311651,134.66193414368828,154.17827071467238
coco_000000002685,images/coco_000000002685.png,svd_texture,0.01,0.002844163845613237,0.20490709395702633,57.19127110745965,0.9997868561367579,4.2704466439291435,0.47151721115304973,0.710200789675126,0.6585311889648438,0,534.089196601843,312.4691984820264,52.53513950983689,269.32386828737657,308.35654142934476
coco_000000002685,images/coco_000000002685.png,svd_texture,0.02,0.005688327691226474,0.20490709395702633,49.2788295512538,0.9996148854966336,10.542681081063455,0.8228992925624246,0.9734716998257277,0.04273223876953125,1,1068.178393203686,777.014800373841,46.51453959655726,538.6477365747531,616.7130828586895
coco_000000002685,images/coco_000000002685.png,svd_texture,0.05,0.014220819228066185,0.20490709395702633,39.798263768520165,0.9988015259135862,17.909864995656978,0.9408360535325935,0.9968091026684928,7.62939453125e-06,1,2670.445983009215,2314.5021062854967,38.55573942311651,1346.6193414368831,1541.7827071467239
